Company Name,Target Status,Status (proposed),Public Website Homepage URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info),AI Failed Criteria,AI Filter Flag
"Matrix Plastic Products, LLC",CY,"High-end, medical-focused moldmaker",http://www.matrixplastic.com,AMBA,949 A.E.C. Drive,Wood Dale,IL,60191,(630) 595-6144,"Medical devices; Electronics; Personal care; High-performance industries ; Medical (News) ; Medical, Healthcare (News: 2023) ; Medical, electronics, consumer products (News: 2023) ; Medical, Electronics, Consumer products (News: 2023) ; Medical, Electronics (News) ; Medical device (News)","Custom injection molding and moldmaking with a focus on surgical precision; Engineering and design for manufacturability (DFM) services; Advanced quality inspection with vision, touch probe, and laser technology; Assembly and production of micro-to-medium sized complex parts; ISO 13485 ; Mold building, injection molding (News) ; Precision plastic injection molding and mold making (News: 2023) ; Precision plastic injection molding (News: 2023) ; Custom injection molding, mold making (News: 2023) ; Precision plastic components and assemblies (News: 2023) ; Precision injection molding, Mold making (News) ; Precision injection molding, mold making (News)","~30k ft² (site) ; 30,000 (News: 2023)",130+ (site) ; 100 (News: 2023),$26M (calc from employees); ~$17.9M (public: ZoomInfo 2024),47 ; 40 (News: 2023),Privately held; family-owned; began as a family business in 1978. ; Investment by 3 Boomerang Capital (News: 2023) ; Family-owned (News: 2023),Makino (5-axis); Yasda (5-axis); Sodick Wire EDM; Sodick Sinker EDM; Zeiss CMM ; Advanced machinery (News) ; Advanced injection molding technology (News: 2023) ; Advanced manufacturing technologies (News) ; Cleanroom manufacturing (News),NI,refer to site,NI,Yes,,Ilin,Yes,,,
"Pelco Tool & Mold, Inc.",CY,"High-end, private moldmaker",http://www.pelcotoolinc.com,AMBA,181 Exchange Blvd.,Glendale Heights,IL,60139,(630) 871-1010,Food and Beverage; Medical; Industrial/Household; Personal Care ; Packaging (News: 2015),"Engineering and design of injection molds; Repairs, conversions, and preventive maintenance of molds; Production of prototypes, single face molds, and stack molds; Expertise in unscrewing molds, side action molds, and collapsible core molds ; Diverse mold offerings (News: 2023) ; Complex molds, IML systems (News: 2015)","21,000 ft² (site)",35 (site),~$13M (site); $7M (calc from employees),62,"Privately held; owned by Dick Truhlar, Roger Wittersheim, and Rob Suva since 1991.","Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced equipment for complex mold designs (News: 2023) ; Makino F5 vertical machining center, Sodick AG60L sinker EDM (News: 2017)",Yes,Yes,Yes,refer to site,,Ilin ; Illinois (News: 2017),Yes,,,
"PM Mold Company, Inc.",CY,"High-end, private moldmaker",http://www.pmmold.com,AMBA,800 Estes Ave.,Schaumburg,IL,60193,(847) 923-5400,"Automotive; Aerospace; Medical; Agricultural; Appliance; Military ; Automotive, Consumer goods (News: 2023)",Product development and design engineering; Custom mold making; Injection molding; Value-added services; Rapid prototyping ; Precision mold manufacturing (News: 2023),"43,000 ft² (site)",~50 (zoominfo),$10M (calc from employees); ~$10M (public: ZI 2023),62,"Privately held; founded by Olav Bradley and Norbert Hauck; active in community and industry associations; family-owned. ; Acquired by NewCo Plastics (News: 2023) ; NewCo Plastics, a White Wolf Capital portfolio company (News: 2023) ; Newco Plastics (News: 2023) ; Acquired by NewCo (News: 2023)",Injection Molding Tryout Presses (28 to 500 tons) ; Advanced machinery (News: 2023),NI,NI,NI,Yes,,Ilin,Yes,,,
Sullivan Tool & Repair Inc.,CY,"High-end, medical-focused moldmaker",http://www.sullivantool.net,AMBA,370 Brook St.,Elgin,IL,60120,(254) 535-2419,Medical; Automotive; Safety Parts,custom injection molds; class 101 tooling; repairs; Micro laser welding; laser engraving,~30k ft² (zoominfo),refer to site,"""$12M (calc from employees); ~$2M (public: ZI 2023)""",23,Privately held; family-owned,Micro Laser Welding; Laser Engraving,NI,NI,Yes,Yes,,Ilin,Yes,,,
Tri-Par Die and Mold Corporation,CY,"High-end, private moldmaker",http://www.tri-par.com,AMBA,670 Sundown Rd,South Elgin,IL,60177,(630) 232-8800,"Automotive, Medical, Electronics, Water Purification, Consumer Products","Precision plastic injection molding, In-house precision tooling design, build, maintenance, and repair, Contract manufacturing, Expertise in complex part geometries, critical parting line matches, and precise shut-offs","58,000 ft² (site)",~50 (zoominfo),$12M (calc from employees); ~$10M (public: ZI 2023),65,Privately held; family-owned,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced equipment for mold-making (News: 2023) ; Advanced equipment (News: 2018) ; State-of-the-art equipment (News: 2023),Yes,Yes,Yes,Yes,,Ilin,Yes,,,
B&D Manufacturing,CY,"High-end, private moldmaker",http://www.bdmfgmolds.com,AMBA,2100 E Carter St,Kokomo,IN,46901,(765) 452-2761,"Automotive, Electronics, Medical, Plumbing, Toys","Design and engineering of plastic molds, Prototype and multi-cavity tooling, Injection molding services, Mold repair and maintenance",~30k ft² (zoominfo),~40 (zoominfo),"""$8M (calc from employees); ~$5M (public: ZI 2023)""",58,Privately held; President Michael R. Green; Family-owned?,Makino (5-axis); Yasda (3-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,"Yes, offers mold repair and maintenance.",Yes,,No region,Yes,,,
Decatur Mold Tool & Engineering,CY,"High-end, private moldmaker",http://www.decaturmold.com,AMBA,3330 North State Highway 7,North Vernon,IN,47265,(812) 346-5188,Automotive; Aerospace; Consumer products; Industrial,Production molds and prototype molds; Mold repair and engineering changes; Design and reverse engineering; Custom machining and sampling; Low volume molding and transportation services; CNC; EDM,~50k ft² (zoominfo),"""150 (calc from revenue_site)""","""$20M (calc from employees); $30M (calc from sqft); ~$10M (estimate)""",NI,Privately held; family-owned,CNC Machines; EDM; Injection Molding Machines; CMM / Metrology Systems ; Advanced automation technologies (News: 2023) ; Lights-out technology (News: 2023),refer to site,NI,Yes,Yes,,No region,NI,,,
Lorentson Manufacturing Company Inc.,CY,"High-end, private moldmaker",http://www.lorentson.com,AMBA,1111 Rank Parkway,Kokomo,IN,46903-0932,(765) 452-4425,Automotive; Consumer products; Industrial applications,Tool and die manufacturing; In-house maintenance and repair of production tooling; Multi-shot molding capabilities,"~50,000 ft² (zoominfo)",~50 (estimate),~$20M (site); $10M (calc from employees); $30M (calc from sqft),76,Privately held; family-owned; woman-owned and operated,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; State-of-the-art machinery (News),Yes,Yes,Yes,Yes,,No region,NI,,,
"Roembke Mfg. & Design, Inc.",CY,"High-end, private moldmaker",http://www.roembke.com,AMBA,1580 Baker Drive,Ossian,IN,46777,(260) 622-4135,"Medical; Automotive; Consumer products; Electronics ; rubber and silicone, medical (News: 2015) ; Industries served ; \""Medical, Consumer, Automotive \"" (News: 2016)","Liquid Silicone Rubber; LSR; Thermoplastic injection mold design; Two-component molding; Cold Deck Systems; Turnkey solutions ; Precision molds and tooling solutions (News) ; mold making (News: 2015) ; Products and services offered ; \""Mold design and manufacturing \"" (News: 2016) ; Precision mold making and design (News: 2023)","62,000 ft² (site)","50+ (site) ; Number of employees ; \""100 \"" (News: 2016)","""$10M (calc from employees); ~$10M (zoominfo)""",48,"Privately held; family-owned; led by Greg Roembke. ; Part of MDP ReTech (News) ; Ownership ; \""Family-owned \"" (News: 2016)","Makino; Yasda; Kern ; State-of-the-art technology (News) ; advanced technology (News: 2015) ; Equipment ; \""Advanced technology for mold design \"" (News: 2016)",refer to site,refer to site,NI,Yes,,"No region ; Region ; \""Ossian, Indiana \"" (News: 2016)",Yes,,,
Southern Indiana Mold Corporation,CY,"High-end, private moldmaker",http://www.soindmoldcorp.com,AMBA,2945 N. St. Highway 3,North Vernon,IN,47265,(812) 346-2622,Plastics; Manufacturing,Plastic mold design and manufacturing; Mold finishing capabilities; Project quoting and consultation services; Continuous improvement and innovation in mold technology,~30k ft² (zoominfo),~50 (zoominfo),"""$11M (calc from sqft); ~$5M (public: ZI 2023)""",NI,Privately held,Makino (3-axis VMC); Yasda (5-axis VMC); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,NI,NI,,No region,NI,,,
ASH Industries,CY,"High-end, medical-focused moldmaker",http://www.ashindustries.com,AMBA,1330 W. Willow St.,Lafayette,LA,70506,(337) 358-8794,"Medical, Defense, Industrial, Electronics ; medical, aerospace, consumer products (News: 2023) ; medical, defense, consumer products (News: 2023) ; medical, aerospace, consumer products (News) ; Medical, Aerospace, Consumer products (News)","Plastic injection molding, Metal injection molding, Liquid silicone rubber injection molding, In-house tooling, Design for manufacturing (DFM), Mold validation, CNC machining, Ultrasonic welding, Assembly, ISO 13485, Clean room ; Plastic injection molding (News) ; Metal injection molding (News) ; custom injection molding, design, prototyping, production (News: 2023) ; mold design, prototyping, production (News)","~50k ft² (zoominfo) ; Unsure about MMCrawl update: doubling workspace (News: 2023) ; 50,000 (News: 2023)",115 (site) ; 85 new jobs added (News: 2023) ; 20 (News: 2023),~$26M (site); $23M (calc from employees); $30M (calc from sqft),NI,Privately held; founded by an MIT graduate with a degree in Electrical Engineering-Hardware,CNC Mills (5-axis); EDM; Injection Molding Tryout Presses; CMM / Metrology Systems ; Advanced machinery for injection molding (News) ; Advanced equipment for metal injection molding (News) ; advanced machinery (News: 2023) ; new equipment (News: 2023) ; Advanced injection molding equipment (News) ; Advanced machinery and automation (News: 2023),NI,Yes,NI,NI,,"No region ; Lafayette, Louisiana (News: 2023) ; Southern California (News)",Yes,,,
"Prime Manufacturing Technologies, Inc.",CY,"High-end, precision tooling shop",http://www.primemfgtech.com,AMBA,8735 Bollman Place,Savage,MD,20763,(301) 604-0900,Automotive; Aerospace; Healthcare; Technology; Defense,Plastic Injection Molding; Metal Injection Molding (MIM); CNC Milling and Turning; CNC Electrical Discharge Machining (EDM); 6-axis robotics for assembly and casting of composite materials; Reverse Engineering and 3D Scanning; High Speed Parts Inspection; CNC; EDM,~30k ft² (public: ZI 2023),~50 (zoominfo),"""$11M (calc from sqft); ~$10M (public: ZI 2023)""",34,"Privately held; founded by Luke Chow, who serves as President and CEO.",CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; Injection Molding Tryout Presses; CMM / Metrology Systems,Yes,Yes,Yes,refer to site,,No region,Yes,,,
"Accu-Die & Mold, Inc.",CY,"High-end, private moldmaker",http://www.accu-die.com,AMBA,refer to site,Stevensville,MI,refer to site,(269) 465-4020,"Automotive; Aerospace; Consumer Products; Industrial ; Automotive, Aerospace (News: 2023)",Design and manufacture of die cast tooling; Engineering and design services; Construction and inspection of aluminum and magnesium die cast dies; Full-service support for die cast tooling projects ; Die-cast tooling (News: 2023),"~30,000 ft² (zoominfo)",25 (calc from revenue_site),$8M (calc from employees); $18M (calc from sqft); ~$5M (public: estimate),34,Privately held; Family-owned?,Makino (3-axis VMC); Makino (5-axis VMC); Yasda (3-axis VMC); Yasda (5-axis VMC); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced technology and equipment (News: 2023),Yes,Yes,Yes,Yes,,Mich,NI,,,
Baumann Tool and Die,CY,"High-end, private moldmaker",http://www.baumanntd.com,AMBA,232 E. Roosevelt Ave,Zeeland,MI,49464,(616) 772-6768,"Automotive; Consumer products; Industrial manufacturing; Packaging ; Automotive, Aerospace (News: 2023)","CNC milling and turning; Prototype molding fixtures; Blow mold trim dies manufacturing; Aluminum or Ren board urethane cast mold production; Automation details for steel, aluminum, and plastic parts ; Precision tooling solutions (News: 2023) ; Precision tools and dies (News: 2023)","~30,000 ft² (public: ZI 2023)",~40 (estimate) ; 50 (News: 2023),"""$8M (calc from employees); ~$5M (estimate)""",NI ; 50 (News: 2023),Privately held; CEO Mark Brown; Family-owned? ; Acquired by Mark Brown (News: 2023) ; Private equity firm (News: 2023),Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced machinery (News: 2023),Yes,Yes,NI,Yes,,"Mich ; Zeeland, Michigan (News: 2023)",NI,,,
"Best Tool & Engineering Co, Inc.",CY,"High-end, private",http://www.bteplastics.com,AMBA,34730 Nova Drive,Clinton Township,MI,48035,(586) 792-6500,"Automotive; Consumer products; Industrial applications; Electronics ; Aerospace, Medical (News: 2023)","Plastic injection molding; Plastic vibration welding; Plastic hot plate welding; Tool manufacturing and design; Full-spectrum design, engineering, and production services; ISO 9001:2015 ; Tool manufacturing services (News) ; Precision mold building, injection molding (News: 2023)","~50,000 ft² (zoominfo) ; 50000 (News: 2023)",~50 (estimate) ; 50 (News: 2023),"""$10M (calc from employees); ~$10M (estimate)""",34,Privately held; President Joe Cherluck; Family-owned?,"Engel Injection Molding Tryout Presses; Zeiss CMM / Metrology Systems ; State-of-the-art machinery (News: 2023) ; Advanced CNC machines, automated systems (News: 2023)",NI,NI,NI,Yes,,Mich,Yes,,,
Byrne Tool + Design,CY,"High-end, precision tooling shop",http://www.byrne-tool.com,AMBA,316 Byrne Industrial DR NE,Rockford,MI,49341,(616) 240-0432,Automotive; Aerospace; Consumer products; Industrial manufacturing,Additive manufacturing services; Comprehensive design and engineering solutions; Tooling and die manufacturing; Collaborative project management and customer support,~30k ft² (zoominfo),~40 (zoominfo),"""$8M (calc from employees); ~$5M (public: ZI 2023)""",50,Privately held; founded by Pete Bylsma in 1974; acquired by Norman Byrne in 1997,"Makino (5-axis); Yasda (3-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced equipment and technology, including automation and robotics (News: 2023) ; Advanced 3D printing equipment (News: 2021)",Yes,Yes,NI,refer to site,,Mich,NI,,,
Classic Die,CY,"High-end, private moldmaker",http://www.classicdie.com,AMBA,"505 Ball Avenue NE, Building B",Grand Rapids,MI,49503,(616) 454-3760,Automotive; Medical; Home Appliance; Furniture,Custom injection molds; Mold repair services; Custom CNC and EDM work; Gun-drilling; Mold sampling; Short-run production; Laser welding; Die cast tooling; CNC; EDM; Gun Drill; Laser Welder,"~30,000 ft² (public: ZI 2023)",~40 (estimate),"""$8M (calc from employees)""",48,Privately held; family-oriented business ; Investment firm (News: 2023),CNC Mills (3-axis); Wire EDM; Gun Drill; Injection Molding Tryout Presses; Laser Welder,Yes,NI,Yes,Yes,,Mich,Yes,,,
Commercial Tool & Die,CY,"High-end, precision tooling shop",http://www.commercialtoolgroup.com,AMBA,5351 Rusche Dr NW,Comstock Park,MI,49321,(616) 785-8100,"Automotive; Lighting; Consumer products; Industrial manufacturing ; automotive, consumer goods (News: 2018)","Injection mold building and tryout; Robotic automation and custom equipment; Fixtures, tooling, and gauges; Compression molding and assembly solutions",~79k ft² (site),~150 (public: LinkedIn 2024),$11M (calc from sqft); ~$25M (public: ZoomInfo 2024),NI,Privately held; part of the Commercial Tool Group ; Industrial Tooling International (News: 2023),Continuous 5-axis machining centers; Injection Molding Tryout Presses; CMM / Metrology Systems ; Zimmermann FZ40c milling machine (News: 2023) ; Custom milling machines (News: 2023) ; advanced equipment and technology (News: 2018),NI,Yes,NI,NI,,Mich,NI,,,
CS Tool Engineering,CY,"High-end, precision tooling shop",http://www.cste.com,AMBA,251 W Cherry St,Cedar Springs,MI,49319,(616) 696-0940,"Automotive; Consumer Products; Medical; Furniture & Office Equipment ; Automotive, Aerospace (News: 2023) ; automotive, consumer products, medical (News: 2016)","Plastic injection mold manufacturing; tooling systems; Advanced CNC machining; fabrication services; Custom precision tooling design; Rapid prototyping; short-run production; Comprehensive metal fabrication; welding; machining; CNC; Wire EDM ; Precision mold building, tool & die manufacturing (News: 2023) ; complex molds (News: 2016)",~40k ft² (zoominfo) ; 35000 (News: 2016),~50 (zoominfo) ; 50 (News: 2016),$10M (calc from employees); ~$10M (public: ZI 2023),58 ; 34 (News: 2014),Privately held; founded by brothers Don and Tom Mabie; family-rooted with a focus on innovation and craftsmanship.,"CNC Mills (5-axis); Wire EDM; CMM / Metrology Systems ; State-of-the-art equipment (News: 2023) ; CNC machining centers, EDM machines (News: 2016)",NI,Yes,NI,Yes,,Mich,Yes,,,
"Deppe Mold and Tooling, Inc.",CY,"High-end, private moldmaker",http://www.deppemold.com,AMBA,2814 Franklin Avenue Southwest,Grandville,MI,49418,(616) 530-1331,Automotive; Consumer products; Industrial,CNC; EDM; mold making; polish; design expertise; Custom machining; polishing; designing services; 5-ton hoist capability; pickup and delivery services,"12,000 ft² (site)",26 (site),$5.2M (calc from employees); $7.2M (calc from sqft),28,Privately held; founded by Jeff Deppe; emphasis on family and loyal employee support; family-owned,Makino D200Z (5-axis) ×2; Makino F9; Makino F5; Makino S56 ×2; YCM T15; Hurco VMX42 CNC ×2; Toshiba Boring Mill; Makino EDNC 85 (Sinker EDM); Makino EDNC 43 (Sinker EDM); Makino U6 HEAT (Wire EDM) ; CNC machinery (News: 2023),refer to site,Yes,refer to site,Yes,,Mich,NI,,,
Die-Tech & Engineering,CY,"High-end, medical-focused moldmaker",http://www.dietech-gr.com,AMBA,"4620 Herman Ave., SW",Wyoming,MI,49509,(616) 530-9030,Medical; Automotive; Consumer products; Industrial ; Healthcare (News: 2020),Design and engineering of plastic injection molds; Manufacturing of die cast dies; Rapid production capabilities; Advanced technology utilization; ISO 13485 ; Key component for ventilators (News: 2020) ; Components for medical devices (News: 2020),"~50,000 ft² (public: ZI 2023)",~100 (estimate),$12M (calc from employees); ~$10M (estimate),NI,Privately held; possible family-owned,Makino (5-axis); Yasda (5-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced machinery and software (News: 2023) ; Advanced engineering software (News: 2020) ; Automation technologies (News: 2020),Yes,Yes,NI,Yes,,Mich,Yes,,,
Eifel Mold & Engineering,CY,"High-end, precision tooling shop",http://www.eifel-inc.com,AMBA,31071 Fraser Drive,Fraser,MI,48026,(586) 296-9640,"Automotive; Consumer Goods ; Automotive, Consumer goods (News: 2023)",Production molds; Rapid prototypes; Die cast tooling; Studio consulting; Tryout support; On-site design reviews; 5-axis CNC machining centers,~30k ft² (zoominfo),50 (site),"""$10M (calc from employees); $18M (calc from sqft)""",NI ; 50 (News: 2023),"Privately held, possibly family-owned. ; Family-owned (News: 2023)",CNC Mills (5-axis); Injection Molding Tryout Presses ; State-of-the-art (News: 2023) ; Advanced moldmaking technology (News: 2023),NI,Yes,NI,Yes,,Mich,NI,,,
"Elite Mold & Engineering, Inc.",CY,"High-end, precision tooling shop",http://teameliteonline.com,AMBA,51548 Filomena Drive,Shelby Township,MI,48315,(586) 314-4000,Automotive; Consumer; Aerospace/Defense; Industrial; Medical ; Aerospace (News: 2023),Plastic Injection Molding; CNC Machining ; Injection molding services (News: 2023),~30k ft² (public: ZI 2023),~50 (estimate),"""$10M (calc from employees); ~$10M (estimate)""",40,Privately held; deeply committed to U.S. manufacturing and community investment; family-owned.,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Mantle's 3D printing technology (News: 2023) ; Shibaura injection molding machine (News: 2023) ; Specialized injection molding equipment (News: 2023),Yes,Yes,NI,Yes,,Mich,Yes,,,
Franchino Mold & Engineering,CY,"High-end, precision tooling shop",http://www.franchino.com,AMBA,5599 Grand River Avenue,Lansing,MI,48906,(517) 321-5609,Automotive; Aerospace; Consumer products; Industrial,Engineering and design of die cast dies and plastic injection molds; Contract machining services; Die and mold repair capabilities; 5-axis machining; EDM technology,"~50,000 ft² (zoominfo) ; 60,000 (News: 2014)",~100 (estimate),"""$10M (calc from employees); ~$10M (estimate)""",70,Privately held; founded in 1955; President Mike Hetherington.,"APEC (5-axis); Hermle (5-axis) ×2; Zimmerman (5-axis); OMV (5-axis); Toshiba (4-axis Boring Mill); Ingersol (EDM); Makino F5 (3-axis) ×6 ; Makino machining centers (News: 2023) ; 2,500-ton press, 1,500-ton press (News: 2014)",Yes,Yes,Yes,refer to site,,Mich,NI,,,
"H & S Mold, Inc.",CY,"High-end, private moldmaker",http://www.hs-mold.biz,AMBA,1640 O’Rourke Blvd.,Gaylord,MI,49735,(989) 732-3566,Automotive; Consumer products; Industrial manufacturing,Custom mold design and building; CAD design capabilities; Manufacturing of molds; Quality assurance through ISO 9001:2015 certification,"10,000 ft² (site)",~40 (zoominfo),"""$8M (calc from employees); ~$5M (public: ZI 2023)""",45,Privately held; family-owned,Makino (CNC); Yasda (CNC); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced CNC machines (News: 2023),Yes,Yes,NI,Yes,,Mich ; Northeast Michigan (News: 2023),NI,,,
Hanson International,CY,High-end precision moldmaker,http://www.hansoninternational.com,AMBA,3500 Hollywood Road,St Joseph,MI,49085,(269) 429-5555,Automotive; Aerospace; Consumer products; Industrial,Design and engineering of die cast dies and injection molds; Manufacturing using state-of-the-art technology and machining; In-house sampling with 600 - 1600 ton die cast machines; Quality verification using laser scanning and CMM machines; ISO 9001:2015 certified,"42,000 ft² (site)",~100 (zoominfo),"""$25.2M (calc from sqft); ~$15M (public: ZI 2023)""",59,"Privately held; founded by Merlin Hanson, a tool and die apprentice graduate; family-owned.",CMM / Metrology Systems; Injection Molding Tryout Presses ; High-precision machinery (News: 2023),NI,NI,NI,Yes,,"Mich ; St. Joseph, Michigan (News: 2023)",NI,,,
Johnson Precision Mold and Engineering Inc.,CY,"High-end, private moldmaker",https://www.johnsonmold.com/,AMBA,1001 Haines Blvd.,Sturgis,MI,49091,(269) 651-2553,Automotive; Consumer products; Medical devices; Electronics,Custom design and mold building; High-speed machining; Aluminum mold machining; Class 101 tooling; Rapid prototyping,~30k ft² (zoominfo),25 (calc from revenue_site),"""$11M (calc from sqft); ~$5M (estimate)""",35,Privately held; founded in 1990.,YCM High Speed Machining Centers,refer to site,refer to site,NI,NI,,Mich,Yes,,,
Krieger Craftsmen,CY,"High-end, precision tooling shop",http://www.kriegercraftsmen.com,AMBA,2758 3 Mile Rd NW,Grand Rapids,MI,49534,(616) 735-9200,Automotive; Medical; Consumer Products; Appliances ; Automotive (News: 2018),"high-precision plastic injection molds; automotive lighting products; A1 grade diamond polish; optical reflex; reflex, Fresnel, and pillow optics; single-cavity and multi-cavity mold configurations; Wire EDM ; Flexible tooling solutions (News: 2018)","~30,000 ft² (zoominfo)","""50 (site)""","""$10M (calc from employees); $18M (calc from sqft); ~$5M (estimate)""",NI,Privately held; owned by Tim Krieger; family-owned.,CNC Mills (3-axis); Wire EDM; Injection Molding Tryout Presses,Yes,NI,NI,Yes,,Mich,Yes,,,
"Legacy Precision Molds, Inc.",CY,"High-end, private moldmaker",http://www.legacyprecisionmolds.com,AMBA,4668 Spartan Industrial Dr. SW,Grandville,MI,49418,(616) 532-6536,Automotive; Consumer products; Industrial applications; Electronics,"New injection mold building; Engineering changes and mold repairs; Custom machining services; Capable of achieving tight tolerances below 0.0005""; CNC ; Precision mold manufacturing (News: 2023)","12,000 ft² (site)","""25 (calc from revenue_site); ~40 (public: BF 2024)""",$8M (calc from employees); ~$5M (public: ZI 2023),30,Privately held; family-owned; second-generation ownership by Thomas and Tyler VanRee,CNC Mills (5-axis); Injection Molding Tryout Presses; CMM / Metrology Systems ; 5-axis machining cell (News: 2023) ; Advanced machinery and technology (News: 2023),NI,Yes,Yes,Yes,,Mich,NI,,,
"Liberty Molds, Inc.",CY,"High-end, precision tooling shop",http://www.libertymolds.com,AMBA,8631 Portage Industrial Drive,Portage,MI,49024,(269) 327-1697,"Automotive interiors; Appliance; Medical and dental; Consumer goods; Furniture; Hydraulic fluid power; Military ; Medical (News: 2020) ; Automotive, Consumer goods (News: 2023)",Custom plastic injection mold builder; Shuttle molds; Rotational and pick-and-place 2-shot molds; Hot runner molds; Unscrewing molds; Metal insert molds; Core pulls and slides; Repair services; Modifications; Engineering changes ; Molds for ventilator parts (News: 2020) ; Precision molds (News: 2023),"13,400 ft² (site)",26 (site),$5.2M (calc from employees); $8M (calc from sqft),NI,Privately held; possible family-owned; Family business confirmed,Makino (3-axis VMC); Makino (5-axis VMC); Yasda (3-axis VMC); Yasda (5-axis VMC); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced machining capabilities (News: 2020) ; Cimatron CAD/CAM software (News: 2019) ; Advanced machinery (News: 2023),Yes,Yes,Yes,Yes,,Mich ; Michigan (News: 2023),Yes,,,
"MC Molds, Inc.",CY,"High-end, private moldmaker",http://www.mcmolds.com,AMBA,845 Progress Court,Williamston,MI,48895,(517) 655-5481,Plastics; Packaging; Consumer goods ; Medical (News: 2020),Blow mold design and manufacturing; Rapid prototyping and bottle design; Mold refurbishing and repair services; Spin trimming and detabber tooling ; Test kits (News: 2020),~30k ft² (zoominfo),40 (site),"""$8M (calc from employees); $18M (calc from sqft); ~$5M (estimate)""",41,Privately held,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced mold-making technology (News: 2020),Yes,Yes,"Yes, including mold refurbishing and repair services.",NI,,Mich,Yes,,,
Maximum Mold Group,CY,"High-end, precision tooling shop",http://www.maximummoldgroup.com,AMBA,refer to site,refer to site,refer to site,refer to site,refer to site,"Automotive; Aerospace; Consumer products; Industrial manufacturing ; automotive, medical (News: 2018) ; Automotive, Consumer products (News: 2023) ; Automotive, Medical (News: 2023)","Engineering and design of die cast and plastic injection molds; Prototyping and production of precision machined components; Assembly, inspection, and testing services; Contract machining for various applications; ISO 9001:2015 certified; ITAR compliant ; Precision mold making (News: 2023)",~30k ft² (zoominfo),~50 (zoominfo),"""$11M (calc from sqft); ~$5M (public: ZI 2023)""",NI,Privately held; possible family-owned; check website for confirmation.,Makino (5-axis); Yasda (5-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; advanced equipment and technology (News: 2018) ; New technologies and equipment (News: 2023) ; Advanced machinery (News: 2023) ; New equipment investment (News: 2023) ; Advanced technology (News: 2023),Yes,Yes,Yes,NI,,"No region ; Benton Harbor, Michigan (News: 2023)",Yes,,,
Midwest Die Corporation,CY,"High-end, precision tooling shop",http://www.midwestdiecorp.net,AMBA,9220 1st St,Baroda,MI,49101,(269) 422-2171,Automotive; Electronics; Heavy Equipment; Defense; Medical; Aerospace ; Automotive (News: 2023),"Design and manufacturing of die-cast dies up to 1200-ton capacity; Engineering services including product and die design, and design for manufacturability; Repairs and revisions of existing dies; Utilizes high-speed machining and EDM equipment for precision tooling; CNC; EDM; Wire EDM; Sinker EDM ; Precision tools and dies (News: 2023)","20,000 ft² (site) ; 50000 (News: 2023)",~40 (zoominfo) ; 70 (News: 2023),$8M (calc from employees); ~$5M (public: ZI 2023),43 ; 59 (News: 2023),Privately held; founded by Rodney and Gary Nitz; family-owned. ; Auxo Investment Partners (News: 2023) ; Lateral Industries LLC (News: 2023),Haas VF-2YT (3-axis) ×2; Haas VF-6 (3-axis) ×1; Creative Evol. HS-1100 (3-axis) ×1; Creative Evol. FMC-850 (3-axis) ×1; Creative Evol. FMC-1060 (3-axis) ×2; Charmille Cut E 600 (Wire EDM) ×1; Charmille Roboform 40 (Sinker EDM) ×1,Yes,NI,Yes,Yes,,"Mich ; Baroda, Michigan (News: 2023)",Yes,,,
